127.0.0.1 - - [08/Apr/2016:00:09:35 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/index.jsp HTTP/1.1" 200 6621
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/css/bootstrap.min.css HTTP/1.1" 200 124912
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/js/dropdowns-enhancement.js HTTP/1.1" 200 8595
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/css/dropdowns-enhancement.min.css HTTP/1.1" 200 6826
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/css/font-awesome.min.css HTTP/1.1" 200 22042
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/css/head.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/css/button.css HTTP/1.1" 200 81076
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:09:37 +0800] "GET /bbs/fonts/fontawesome-webfont.eot HTTP/1.1" 200 37405
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:21 +0800] "GET /bbs/index.jsp HTTP/1.1" 200 6621
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:25 +0800] "GET /bbs/boardpage.jsp?pn=1 HTTP/1.1" 200 10790
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:28 +0800] "GET /bbs/topicpage.jsp?tid=271&pn=1 HTTP/1.1" 200 14407
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:28 +0800] "GET /bbs/img/defaultavatar.jpg HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/topicpage.jsp?tid=271&pn=1 HTTP/1.1" 200 14407
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/css/dropdowns-enhancement.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/css/button.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/img/defaultavatar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/js/dropdowns-enhancement.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:41 +0800] "GET /bbs/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:42 +0800] "GET /bbs/fonts/fontawesome-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:57 +0800] "POST /bbs/actions/dosignup.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:24:57 +0800] "GET /bbs/topicpage.jsp?tid=271&pn=1 HTTP/1.1" 200 11461
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:25:06 +0800] "GET /bbs/boardpage.jsp?pn=1 HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:25:11 +0800] "GET /bbs/newtopic.jsp?pn=1 HTTP/1.1" 200 5236
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:25:16 +0800] "POST /bbs/actions/dopost.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:25:16 +0800] "GET /bbs/topicpage.jsp?tid=275&pn=1 HTTP/1.1" 200 8653
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:30:02 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Apr/2016:00:46:55 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Apr/2016:02:19:22 +0800] "GET /favicon.ico HTTP/1.1" 404 973
